skill_name,recommended_source,recommended_owner,canonical_path,lines,completeness,evidence_tags,has_procedure,last_modified,reason,other_locations
performance-engineering,mdf,metodologia,skills/metodologia/performance-engineering,410,4,1,false,2026-03-19,"Highest composite score (208): 410 lines, 4/5 completeness, 1 evidence tags","sa(63 lines);atomic(328 lines)"
pipeline-governance,mdf,metodologia,skills/metodologia/pipeline-governance,477,3,1,false,2026-03-19,"Highest composite score (208): 477 lines, 3/5 completeness, 1 evidence tags","pm(130 lines)"
poc-lab,pm,javier-montano,skills/javier-montano/poc-lab,145,5,2,false,2026-03-18,"Highest composite score (153): 145 lines, 5/5 completeness, 2 evidence tags","mdf(292 lines)"
project-program-management,mdf,metodologia,skills/metodologia/project-program-management,456,3,0,,,"Highest composite score (196): 456 lines, 3/5 completeness","atomic(366 lines)"
quality-engineering,mdf,metodologia,skills/metodologia/quality-engineering,378,4,0,,,"Highest composite score (193): 378 lines, 4/5 completeness","sa(63 lines);atomic(286 lines)"
rendering-engine,pm,javier-montano,skills/javier-montano/rendering-engine,142,5,5,false,2026-03-18,"Highest composite score (167): 142 lines, 5/5 completeness, 5 evidence tags","mdf(97 lines)"
risk-controlling-dynamics,mdf,metodologia,skills/metodologia/risk-controlling-dynamics,501,4,0,,,"Highest composite score (230): 501 lines, 4/5 completeness","atomic(412 lines)"
roadmap-poc,mdf,metodologia,skills/metodologia/roadmap-poc,393,4,0,,,"Highest composite score (197): 393 lines, 4/5 completeness","sa(67 lines);atomic(265 lines)"
scenario-analysis,mdf,metodologia,skills/metodologia/scenario-analysis,284,4,0,,,"Highest composite score (165): 284 lines, 4/5 completeness","sa(63 lines);atomic(208 lines)"
secrets-sanitization,pm,javier-montano,skills/javier-montano/secrets-sanitization,143,5,7,false,2026-03-18,"Highest composite score (177): 143 lines, 5/5 completeness, 7 evidence tags","mdf(135 lines)"
sector-intelligence,mdf,metodologia,skills/metodologia/sector-intelligence,353,3,0,,,"Highest composite score (165): 353 lines, 3/5 completeness","sa(67 lines)"
security-architecture,mdf,metodologia,skills/metodologia/security-architecture,405,4,0,,,"Highest composite score (201): 405 lines, 4/5 completeness","sa(63 lines);atomic(322 lines)"
software-architecture,mdf,metodologia,skills/metodologia/software-architecture,351,4,0,,,"Highest composite score (185): 351 lines, 4/5 completeness","sa(63 lines);atomic(282 lines)"
software-viability,mdf,metodologia,skills/metodologia/software-viability,400,4,0,,,"Highest composite score (200): 400 lines, 4/5 completeness","sa(58 lines);atomic(253 lines)"
solution-roadmap,mdf,metodologia,skills/metodologia/solution-roadmap,289,4,0,,,"Highest composite score (166): 289 lines, 4/5 completeness","sa(67 lines);atomic(208 lines)"
solutions-architecture,mdf,metodologia,skills/metodologia/solutions-architecture,370,4,0,,,"Highest composite score (191): 370 lines, 4/5 completeness","sa(63 lines);atomic(295 lines)"
stakeholder-mapping,mdf,metodologia,skills/metodologia/stakeholder-mapping,342,4,0,,,"Highest composite score (182): 342 lines, 4/5 completeness","sa(63 lines);atomic(228 lines)"
storytelling,mdf,metodologia,skills/metodologia/storytelling,345,3,2,false,2026-03-19,"Highest composite score (173): 345 lines, 3/5 completeness, 2 evidence tags","sa(67 lines)"
team-topology,sa,javier-montano,skills/javier-montano/team-topology,58,5,1,true,2026-03-18,"Highest composite score (137): 58 lines, 5/5 completeness, 1 evidence tags, has Procedure section","mdf(170 lines)"
technical-feasibility,mdf,metodologia,skills/metodologia/technical-feasibility,367,4,4,false,2026-03-19,"Highest composite score (210): 367 lines, 4/5 completeness, 4 evidence tags","sa(64 lines);atomic(248 lines)"
technical-writing,mdf,metodologia,skills/metodologia/technical-writing,341,3,8,false,2026-03-19,"Highest composite score (202): 341 lines, 3/5 completeness, 8 evidence tags","sa(67 lines);pm(149 lines)"
testing-strategy,mdf,metodologia,skills/metodologia/testing-strategy,465,4,0,,,"Highest composite score (219): 465 lines, 4/5 completeness","sa(63 lines);atomic(332 lines)"
true,atomic,javier-montano,skills/javier-montano/true,772,4,1,true,2026-03-19,"Highest composite score (250): 772 lines, 4/5 completeness, 1 evidence tags, has Procedure section","scriba(98 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);scriba(121 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);scriba(105 lines);0(2026-03-18 lines);0(2026-03-18 lines);scriba(129 lines);scriba(134 lines);scriba(154 lines);0(2026-03-18 lines);0(2026-03-18 lines);scriba(105 lines);scriba(105 lines);scriba(101 lines);0(2026-03-18 lines);0(2026-03-18 lines);scriba(174 lines);0(2026-03-18 lines);sa(63 lines);sa(181 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(61 lines);0(2026-03-18 lines);sa(62 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(63 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(81 lines);sa(62 lines);0(2026-03-18 lines);sa(58 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(163 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(62 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(61 lines);sa(58 lines);sa(63 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(62 lines);0(2026-03-18 lines);sa(78 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(62 lines);sa(62 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(63 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(63 lines);0(2026-03-18 lines);sa(62 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(91 lines);0(2026-03-18 lines);sa(62 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(62 lines);sa(58 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(62 lines);sa(63 lines);sa(62 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(62 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(62 lines);0(2026-03-18 lines);sa(188 lines);0(2026-03-18 lines);sa(61 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(62 lines);sa(120 lines);0(2026-03-18 lines);sa(120 lines);sa(120 lines);0(2026-03-18 lines);sa(62 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(62 lines);sa(66 lines);0(2026-03-18 lines);sa(58 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(58 lines);sa(61 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(62 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);0(2026-03-18 lines);sa(187 lines);sa(230 lines);0(2026-03-18 lines);0(2026-03-19 lines);0(2026-03-19 lines);0(2026-03-19 lines)"
user-representative,mdf,metodologia,skills/metodologia/user-representative,291,4,0,,,"Highest composite score (167): 291 lines, 4/5 completeness","atomic(212 lines)"
ux-writing,mdf,metodologia,skills/metodologia/ux-writing,380,4,0,,,"Highest composite score (194): 380 lines, 4/5 completeness","sa(67 lines);atomic(265 lines)"
workshop-design,mdf,metodologia,skills/metodologia/workshop-design,365,3,0,,,"Highest composite score (169): 365 lines, 3/5 completeness","sa(68 lines)"
workshop-facilitator,mdf,metodologia,skills/metodologia/workshop-facilitator,300,3,1,false,2026-03-19,"Highest composite score (155): 300 lines, 3/5 completeness, 1 evidence tags","atomic(222 lines)"
